iter	Passed	Remaining
799	6962	3481
800	6970	3472
801	6979	3463
802	6987	3454
803	6996	3445
804	7004	3436
805	7012	3428
806	7021	3419
807	7029	3410
808	7038	3401
809	7047	3393
810	7055	3384
811	7064	3375
812	7073	3367
813	7082	3358
814	7091	3349
815	7100	3341
816	7108	3332
817	7115	3322
818	7123	3313
819	7132	3305
820	7139	3295
821	7148	3287
822	7157	3278
823	7166	3270
824	7174	3260
825	7182	3252
826	7191	3243
827	7200	3234
828	7208	3226
829	7217	3217
830	7226	3208
831	7234	3199
832	7243	3191
833	7251	3182
834	7261	3174
835	7269	3165
836	7278	3156
837	7285	3147
838	7294	3138
839	7303	3130
840	7311	3121
841	7320	3112
842	7329	3103
843	7337	3095
844	7346	3086
845	7355	3077
846	7364	3069
847	7372	3060
848	7381	3051
849	7390	3043
850	7399	3034
851	7408	3026
852	7416	3017
853	7426	3008
854	7435	3000
855	7444	2991
856	7453	2983
857	7461	2974
858	7470	2965
859	7478	2956
860	7487	2948
861	7497	2939
862	7506	2931
863	7514	2922
864	7523	2913
865	7532	2905
866	7542	2896
867	7550	2888
868	7559	2879
869	7568	2870
870	7577	2862
871	7585	2853
872	7593	2844
873	7602	2835
874	7611	2827
875	7619	2818
876	7627	2809
877	7635	2800
878	7643	2791
879	7651	2782
880	7661	2774
881	7669	2765
882	7678	2756
883	7686	2747
884	7695	2739
885	7704	2730
886	7713	2721
887	7721	2712
888	7730	2704
889	7738	2695
890	7746	2686
891	7755	2677
892	7764	2669
893	7773	2660
894	7782	2651
895	7791	2643
896	7799	2634
897	7808	2626
898	7816	2617
899	7824	2608
900	7833	2599
901	7841	2590
902	7850	2582
903	7859	2573
904	7867	2564
905	7876	2555
906	7885	2547
907	7894	2538
908	7903	2530
909	7911	2521
910	7919	2512
911	7928	2503
912	7936	2494
913	7945	2486
914	7955	2477
915	7963	2469
916	7972	2460
917	7981	2451
918	7990	2443
919	7998	2434
920	8007	2425
921	8015	2416
922	8023	2407
923	8031	2399
924	8040	2390
925	8048	2381
926	8057	2372
927	8065	2364
928	8073	2355
929	8082	2346
930	8090	2337
931	8098	2328
932	8108	2320
933	8117	2311
934	8127	2303
935	8135	2294
936	8143	2285
937	8152	2277
938	8160	2268
939	8167	2259
940	8177	2250
941	8186	2242
942	8195	2233
943	8203	2224
944	8212	2216
945	8221	2207
946	8229	2198
947	8238	2189
948	8246	2181
949	8254	2172
950	8263	2163
951	8271	2154
952	8280	2146
953	8288	2137
954	8297	2128
955	8305	2119
956	8314	2111
957	8324	2102
958	8333	2094
959	8341	2085
960	8350	2076
961	8358	2067
962	8366	2059
963	8375	2050
964	8383	2041
965	8391	2032
966	8400	2024
967	8408	2015
968	8417	2006
969	8426	1997
970	8434	1989
971	8443	1980
